"smolt year","smolt","adults","survival rate (%)"
1984,NA,247,NA
1985,NA,79,NA
1986,743,235,31.6
1987,355,152,42.8
1988,413,193,46.7
1989,823,81,9.8
1990,807,54,6.7
1991,199,47,23.6
1992,674,115,17.1
1993,227,43,18.9
1994,569,141,24.8
1995,743,252,33.9
1996,998,54,5.4
1997,467,184,39.4
1998,1074,231,21.5
1999,261,244,93.5
2000,2163,212,9.8
2001,1357,316,23.3
2002,2364,254,10.7
2003,1232,347,28.2
2004,1230,175,14.2
2005,845,203,24
2006,1355,202,14.9
2007,954,119,12.5
2008,2152,158,7.3
2009,3380,547,16.2
2010,1407,254,18.1
2011,1801,264,14.7
2012,1360,311,22.9
2013,1284,270,21
2014,1565,149,9.5
2015,2296,NA,NA
2016,1953,NA,NA
